paper_ref,family,system,variant,walk,model_name,topk,ep,mb,nodes,q,q_over_bdp,rto_min_us,mtu,makespan_ms,rtos,quotable,quotable_why,fct_logdir,source,note,link_rate_fixed,quoted_by
cliff,glass,glassfb,,,llamaMoE,2,32,8,256,1064,4.0,100,1500,117.363,1502,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_ep32_gt.csv,map from GLASS_LOG_FLOWS 36/36 pairs direct,,
cliff,glass,glassfb,,,llamaMoE,2,32,8,256,1064,8.0,100,1500,125.666,8777,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_portmap.csv,port-map cabling; placement+dim-route ON,,
cliff,glass,glassfb,,sk2p0,llamaMoE,,32,8,256,266,1.00,,,130.086,8191,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,sk1p2,llamaMoE,,32,8,256,266,1.00,,,145.088,8701,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,hier32,llamaMoE,,32,8,256,2133,8.00,,,202.683,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=1,yes,collector
cliff,glass,glassfb,,x2_mesh_dim1,llamaMoE,,32,8,256,1064,3.99,,,224.940,35537,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=none1; hier=0,yes,collector
cliff,glass,glassfb,,x2_mesh_dim0,llamaMoE,,32,8,256,1064,3.99,,,234.346,36447,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=0; portmap=none1; hier=0,yes,collector
cliff,glass,glassfb,,,qwenMoE,,64,8,512,17067,64.0,,,39.395,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_ep64_gt_ext.csv,EP=64 vanishing-timeout walk continued; 2x/4x/8x all had 6e4-1e5 timeouts,,
cliff,glass,glassfb,,,qwenMoE,,64,8,512,8533,32.0,,,39.410,564,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_ep64_gt_ext.csv,EP=64 vanishing-timeout walk continued; 2x/4x/8x all had 6e4-1e5 timeouts,,
cliff,glass,glassfb,,g64,qwenMoE,,64,8,512,17067,64.00,,,43.088,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung | drops measured on the counter build at the same makespan,yes,collector
cliff,glass,glassfb,,g64,qwenMoE,,64,8,512,8533,32.00,,,43.157,42,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g64,qwenMoE,,64,8,512,4267,16.00,,,46.997,2373,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g64,qwenMoE,,64,8,512,533,2.00,,,50.169,69106,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,,qwenMoE,4,64,8,512,1064,8.0,100,1500,51.478,103067,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_portmap.csv,port-map cabling; placement+dim-route ON,,
cliff,glass,glassfb,,,qwenMoE,4,64,8,512,1064,3.99,100,1500,52.004,102601,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),shared_logdir,cliff_ep64_gt.csv,map from GLASS_LOG_FLOWS 96/96 pairs direct,,
cliff,glass,glassfb,,g64,qwenMoE,,64,8,512,1064,3.99,,,52.103,37144,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,,qwenMoE,4,64,8,512,533,2.00,100,1500,54.182,128415,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_ep64_gt.csv,map from GLASS_LOG_FLOWS 96/96 pairs direct,,
cliff,glass,glassfb,,g64,qwenMoE,,64,8,512,2133,8.00,,,55.990,12840,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
